# r   g(r)
         0.0116005874         0.0000000000
         0.0348017621         0.0000000000
         0.0580029369         0.0000000000
         0.0812041116         0.0000000000
         0.1044052863         0.0000000000
         0.1276064611         0.0000000000
         0.1508076358         0.0000000000
         0.1740088106         0.0000000000
         0.1972099853         0.0000000000
         0.2204111601         0.0000000000
         0.2436123348         0.0000000000
         0.2668135095         0.0000000000
         0.2900146843         0.0000000000
         0.3132158590         0.0000000000
         0.3364170338         0.0000000000
         0.3596182085         0.0000000000
         0.3828193833         0.0000000000
         0.4060205580         0.0000000000
         0.4292217327         0.0000000000
         0.4524229075         0.0000000000
         0.4756240822         0.0000000000
         0.4988252570         0.0000000000
         0.5220264317         0.0000000000
         0.5452276065         0.0000000000
         0.5684287812         0.0000000000
         0.5916299559         0.0000000000
         0.6148311307         0.0000000000
         0.6380323054         0.0000000000
         0.6612334802         0.0000000000
         0.6844346549         0.0000000000
         0.7076358297         0.0000000000
         0.7308370044         0.0000000000
         0.7540381791         0.0000000000
         0.7772393539         0.0000000000
         0.8004405286         0.0000000000
         0.8236417034         0.0000000000
         0.8468428781         0.0000000000
         0.8700440529         0.0000000000
         0.8932452276         0.0000000000
         0.9164464023         0.0182245636
         0.9396475771         0.0866787058
         0.9628487518         0.3302077888
         0.9860499266         0.8973285453
         1.0092511013         1.7581776150
         1.0324522761         2.9867547388
         1.0556534508         4.8622525372
         1.0788546256         6.0230623493
         1.1020558003         6.6165342989
         1.1252569750         7.1806226786
         1.1484581498         6.4408374556
         1.1716593245         5.6865354771
         1.1948604993         4.6744757385
         1.2180616740         4.0647983792
         1.2412628488         3.1989701499
         1.2644640235         2.4795284701
         1.2876651982         1.8740140669
         1.3108663730         1.6835580496
         1.3340675477         1.4104956029
         1.3572687225         1.1383420634
         1.3804698972         0.7228911026
         1.4036710720         0.9089494873
         1.4268722467         0.8946675496
         1.4500734214         0.8371495824
         1.4732745962         0.7898345383
         1.4964757709         0.7860392562
         1.5196769457         0.9809462334
         1.5428781204         0.8166327084
         1.5660792952         1.0422586460
         1.5892804699         1.0847725807
         1.6124816446         1.0125718959
         1.6356828194         0.9954931063
         1.6588839941         0.9177815132
         1.6820851689         1.0873958797
         1.7052863436         1.0001076463
         1.7284875184         0.9273294086
         1.7516886931         1.1922632917
         1.7748898678         1.3265026342
         1.7980910426         1.5954933354
         1.8212922173         1.6935397781
         1.8444933921         1.9526493901
         1.8676945668         2.1940533467
         1.8908957416         2.3674400447
         1.9140969163         2.3521754050
         1.9372980910         2.4307631404
         1.9604992658         2.3895013928
         1.9837004405         2.3183745660
         2.0069016153         2.2308767304
         2.0301027900         2.1578925889
         2.0533039648         1.9895915164
         2.0765051395         2.1264283698
         2.0997063142         2.0935833659
         2.1229074890         1.9733501164
         2.1461086637         2.2831979504
         2.1693098385         2.2313683993
         2.1925110132         2.3881858337
         2.2157121880         2.1108262259
         2.2389133627         2.0734128479
         2.2621145374         2.0161432316
         2.2853157122         1.7174968490
         2.3085168869         1.7089984655
         2.3317180617         1.4161419973
         2.3549192364         1.4242578713
         2.3781204112         1.1773690240
         2.4013215859         1.1759643939
         2.4245227606         0.9452468834
         2.4477239354         0.9274125707
         2.4709251101         0.9677416269
         2.4941262849         0.9252142409
         2.5173274596         0.8550967100
         2.5405286344         0.9415291580
         2.5637298091         1.0386802237
         2.5869309838         1.0544422609
         2.6101321586         1.1795759875
         2.6333333333         1.1853709436
         2.6565345081         1.2970656981
         2.6797356828         1.2874927179
         2.7029368576         1.3052931338
         2.7261380323         1.3758548909
         2.7493392070         1.5491614500
         2.7725403818         1.4874993376
         2.7957415565         1.5804161993
         2.8189427313         1.6045916137
         2.8421439060         1.6410349365
         2.8653450808         1.8811758827
         2.8885462555         1.8308974831
         2.9117474302         1.8162798104
         2.9349486050         1.8978525344
         2.9581497797         1.8052261900
         2.9813509545         1.7703502297
         3.0045521292         1.6786804159
         3.0277533040         1.5712344733
         3.0509544787         1.5457838983
         3.0741556535         1.4512716641
         3.0973568282         1.3402605920
         3.1205580029         1.2952546693
         3.1437591777         1.2529752260
         3.1669603524         1.2194220906
         3.1901615272         1.1987414841
         3.2133627019         1.1948355409
         3.2365638767         1.2391392153
         3.2597650514         1.2085983669
         3.2829662261         1.1049418778
         3.3061674009         1.1062928472
         3.3293685756         1.1157845030
         3.3525697504         1.1739358420
         3.3757709251         1.0248761008
         3.3989720999         0.9844335408
         3.4221732746         1.1266683277
         3.4453744493         1.0341757357
         3.4685756241         1.0547391100
         3.4917767988         1.0181711349
         3.5149779736         1.0407033863
         3.5381791483         1.0967956608
         3.5613803231         1.1549632520
         3.5845814978         1.1078959862
         3.6077826725         1.1477890001
         3.6309838473         1.1552272999
         3.6541850220         1.2128235369
         3.6773861968         1.2417128571
         3.7005873715         1.2228383454
         3.7237885463         1.2573227385
         3.7469897210         1.2374394140
         3.7701908957         1.2222563000
         3.7933920705         1.2499007334
         3.8165932452         1.2263437955
         3.8397944200         1.2354471389
         3.8629955947         1.2698879074
         3.8861967695         1.2172691591
         3.9093979442         1.2068699835
         3.9325991189         1.2471089743
         3.9558002937         1.1973081268
         3.9790014684         1.1795188222
         4.0022026432         1.1161895489
         4.0254038179         1.1515374571
         4.0486049927         1.0599328067
         4.0718061674         1.0294232550
         4.0950073421         1.0287452879
         4.1182085169         1.0343351372
         4.1414096916         1.0129611958
         4.1646108664         1.0246527614
         4.1878120411         0.9443788704
         4.2110132159         0.9348644030
         4.2342143906         0.8956187728
         4.2574155653         0.9492216243
         4.2806167401         0.9606795817
         4.3038179148         0.9263844511
         4.3270190896         0.9254697718
         4.3502202643         0.8913587766
         4.3734214391         0.9099368668
         4.3966226138         0.8694756577
         4.4198237885         0.9167890734
         4.4430249633         0.9289509831
         4.4662261380         0.8809554930
         4.4894273128         0.9630101673
         4.5126284875         0.9719252859
         4.5358296623         0.9895362186
         4.5590308370         0.9890642172
         4.5822320117         0.9674094362
         4.6054331865         1.0190307283
         4.6286343612         0.9945509808
