# r   g(r)
         0.0116005874         0.0000000000
         0.0348017621         0.0000000000
         0.0580029369         0.0000000000
         0.0812041116         0.0000000000
         0.1044052863         0.0000000000
         0.1276064611         0.0000000000
         0.1508076358         0.0000000000
         0.1740088106         0.0000000000
         0.1972099853         0.0000000000
         0.2204111601         0.0000000000
         0.2436123348         0.0000000000
         0.2668135095         0.0000000000
         0.2900146843         0.0000000000
         0.3132158590         0.0000000000
         0.3364170338         0.0000000000
         0.3596182085         0.0000000000
         0.3828193833         0.0000000000
         0.4060205580         0.0000000000
         0.4292217327         0.0000000000
         0.4524229075         0.0000000000
         0.4756240822         0.0000000000
         0.4988252570         0.0000000000
         0.5220264317         0.0000000000
         0.5452276065         0.0000000000
         0.5684287812         0.0000000000
         0.5916299559         0.0000000000
         0.6148311307         0.0000000000
         0.6380323054         0.0000000000
         0.6612334802         0.0000000000
         0.6844346549         0.0000000000
         0.7076358297         0.0000000000
         0.7308370044         0.0000000000
         0.7540381791         0.0000000000
         0.7772393539         0.0000000000
         0.8004405286         0.0000000000
         0.8236417034         0.0000000000
         0.8468428781         0.0000000000
         0.8700440529         0.0000000000
         0.8932452276         0.0959176773
         0.9164464023         0.3462667085
         0.9396475771         0.6587581639
         0.9628487518         0.9080714191
         0.9860499266         1.3853493331
         1.0092511013         1.5477973876
         1.0324522761         1.9097999051
         1.0556534508         1.9091895556
         1.0788546256         1.9331662999
         1.1020558003         1.9156442161
         1.1252569750         1.7891113745
         1.1484581498         1.7755822175
         1.1716593245         2.0293126605
         1.1948604993         1.4580933496
         1.2180616740         1.4340278546
         1.2412628488         1.0431424402
         1.2644640235         1.3115652525
         1.2876651982         1.2831918980
         1.3108663730         1.1669106058
         1.3340675477         1.1524781146
         1.3572687225         0.9804698064
         1.3804698972         1.1967863809
         1.4036710720         0.8701054922
         1.4268722467         1.0525500583
         1.4500734214         0.8662678287
         1.4732745962         0.9872931728
         1.4964757709         0.8543904958
         1.5196769457         0.6495454788
         1.5428781204         0.8037723508
         1.5660792952         0.7302051592
         1.5892804699         0.8847865742
         1.6124816446         0.8241864269
         1.6356828194         0.8124139143
         1.6588839941         0.7954106447
         1.6820851689         0.8601788302
         1.7052863436         0.7790312192
         1.7284875184         0.8914658403
         1.7516886931         0.7682365980
         1.7748898678         0.8357452494
         1.7980910426         0.9610835225
         1.8212922173         0.9321390604
         1.8444933921         0.8863408522
         1.8676945668         0.8732332320
         1.8908957416         1.1088010336
         1.9140969163         1.0068814789
         1.9372980910         0.9462031016
         1.9604992658         1.0832406314
         1.9837004405         1.1008389298
         2.0069016153         1.0831343580
         2.0301027900         1.0028072272
         2.0533039648         1.1654359065
         2.0765051395         1.0614392029
         2.0997063142         1.1561579782
         2.1229074890         1.1548004124
         2.1461086637         1.1100263689
         2.1693098385         1.1124314760
         2.1925110132         1.0539860146
         2.2157121880         1.1068586561
         2.2389133627         1.0596086277
         2.2621145374         1.0738804453
         2.2853157122         1.0785645741
         2.3085168869         0.9650814864
         2.3317180617         1.1233412662
         2.3549192364         1.0626730241
         2.3781204112         1.0014403193
         2.4013215859         0.9423642434
         2.4245227606         0.9608707989
         2.4477239354         0.9708451153
         2.4709251101         0.9175995737
         2.4941262849         0.8760007174
         2.5173274596         0.9372246426
         2.5405286344         0.9012117886
         2.5637298091         0.8803164227
         2.5869309838         1.0109836862
         2.6101321586         0.9953374523
         2.6333333333         1.0176089478
         2.6565345081         0.9478557025
         2.6797356828         1.0274362418
         2.7029368576         1.0203495283
         2.7261380323         0.9701012779
         2.7493392070         0.9801230612
         2.7725403818         0.9418837841
         2.7957415565         0.9772338085
         2.8189427313         0.9631402243
         2.8421439060         0.9721142292
         2.8653450808         1.0421975406
         2.8885462555         0.9466363740
         2.9117474302         0.9713305547
         2.9349486050         1.0271149484
         2.9581497797         1.0425531097
         2.9813509545         1.1486610926
         3.0045521292         1.0411209852
         3.0277533040         1.0268960692
         3.0509544787         1.0771153760
         3.0741556535         1.0009887147
         3.0973568282         1.0434886037
         3.1205580029         0.9824443790
         3.1437591777         1.0129119874
         3.1669603524         0.9263945044
         3.1901615272         1.1175218603
         3.2133627019         0.9798837377
         3.2365638767         0.9527343967
         3.2597650514         0.9579474541
         3.2829662261         1.0012648121
         3.3061674009         1.0362743126
         3.3293685756         0.9500739332
         3.3525697504         0.9587596668
         3.3757709251         1.0302489768
         3.3989720999         1.0387562531
         3.4221732746         0.9985784250
         3.4453744493         0.9838853944
         3.4685756241         1.0407437780
         3.4917767988         0.9704639794
         3.5149779736         1.0047743408
         3.5381791483         0.9598490454
         3.5613803231         0.9679002383
         3.5845814978         1.0006802456
         3.6077826725         0.9631549089
         3.6309838473         1.0089372097
         3.6541850220         0.9526052544
         3.6773861968         0.9972188032
         3.7005873715         1.0294644571
         3.7237885463         1.0354422553
         3.7469897210         1.0182981609
         3.7701908957         0.9196536389
         3.7933920705         1.0297054553
         3.8165932452         1.0361396592
         3.8397944200         1.0143124829
         3.8629955947         1.0555045693
         3.8861967695         0.9730044902
         3.9093979442         0.9795177127
         3.9325991189         0.9679941086
         3.9558002937         1.0525355755
         3.9790014684         1.0199937356
         4.0022026432         0.9996012570
         4.0254038179         0.9852777422
         4.0486049927         0.9954963630
         4.0718061674         0.9989560196
         4.0950073421         0.9922325891
         4.1182085169         1.0460684328
         4.1414096916         0.9656599241
         4.1646108664         1.0352434876
         4.1878120411         1.0124579387
         4.2110132159         0.9978792704
         4.2342143906         1.0629603166
         4.2574155653         0.9931357920
         4.2806167401         0.9289353868
         4.3038179148         1.0263777773
         4.3270190896         0.9663474119
         4.3502202643         0.9916568604
         4.3734214391         1.0651943445
         4.3966226138         0.9882564853
         4.4198237885         0.9802590861
         4.4430249633         1.0227765832
         4.4662261380         0.9669023703
         4.4894273128         1.0321220957
         4.5126284875         0.9937240742
         4.5358296623         0.9954883162
         4.5590308370         1.0214684060
         4.5822320117         1.0060474921
         4.6054331865         1.0190307283
         4.6286343612         1.0024102199
