# r   g(r)
         0.0116005874        31.4065754368
         0.0348017621        28.9207268018
         0.0580029369        26.3582923296
         0.0812041116        22.3447804788
         0.1044052863        19.0081444602
         0.1276064611        14.7308685057
         0.1508076358        11.5009288536
         0.1740088106         8.8335702142
         0.1972099853         6.7544282147
         0.2204111601         5.2252936544
         0.2436123348         3.9158847630
         0.2668135095         2.8907134584
         0.2900146843         2.1048721969
         0.3132158590         1.6813589844
         0.3364170338         1.3368006314
         0.3596182085         1.0804582452
         0.3828193833         0.8173979697
         0.4060205580         0.6280760903
         0.4292217327         0.5111967922
         0.4524229075         0.4344562630
         0.4756240822         0.3638308083
         0.4988252570         0.2988027915
         0.5220264317         0.2422424150
         0.5452276065         0.2092610557
         0.5684287812         0.2011308442
         0.5916299559         0.1709834755
         0.6148311307         0.1491589753
         0.6380323054         0.1261642534
         0.6612334802         0.1103265287
         0.6844346549         0.0961472221
         0.7076358297         0.1015033317
         0.7308370044         0.0893163783
         0.7540381791         0.0836371196
         0.7772393539         0.0717859539
         0.8004405286         0.0716665216
         0.8236417034         0.0643747579
         0.8468428781         0.0638159425
         0.8700440529         0.0622184292
         0.8932452276         0.0640389577
         0.9164464023         0.0752084457
         0.9396475771         0.1644698105
         0.9628487518         0.3858488331
         0.9860499266         0.7848002004
         1.0092511013         1.2546616558
         1.0324522761         1.7736984815
         1.0556534508         2.1944983620
         1.0788546256         2.5049668090
         1.1020558003         2.7068018115
         1.1252569750         2.7700222092
         1.1484581498         2.7525657242
         1.1716593245         2.6548151166
         1.1948604993         2.5272239483
         1.2180616740         2.3722022775
         1.2412628488         2.1723806417
         1.2644640235         2.0355020029
         1.2876651982         1.8535985069
         1.3108663730         1.7141603916
         1.3340675477         1.5518743505
         1.3572687225         1.4430130849
         1.3804698972         1.3403320720
         1.4036710720         1.2399814132
         1.4268722467         1.1572524754
         1.4500734214         1.0902591198
         1.4732745962         1.0350355854
         1.4964757709         0.9908981741
         1.5196769457         0.9492827968
         1.5428781204         0.9060887130
         1.5660792952         0.8817541691
         1.5892804699         0.8579767077
         1.6124816446         0.8444038671
         1.6356828194         0.8453538658
         1.6588839941         0.8425170324
         1.6820851689         0.8407924146
         1.7052863436         0.8391371624
         1.7284875184         0.8517065919
         1.7516886931         0.8819708462
         1.7748898678         0.9159681079
         1.7980910426         0.9422636844
         1.8212922173         0.9617881774
         1.8444933921         0.9943189891
         1.8676945668         1.0347377182
         1.8908957416         1.0613204823
         1.9140969163         1.0957858233
         1.9372980910         1.1365739146
         1.9604992658         1.1585522892
         1.9837004405         1.1817423252
         2.0069016153         1.2046626031
         2.0301027900         1.2163838105
         2.0533039648         1.2298264672
         2.0765051395         1.2360806527
         2.0997063142         1.2514670155
         2.1229074890         1.2598990102
         2.1461086637         1.2642450077
         2.1693098385         1.2703429130
         2.1925110132         1.2699128019
         2.2157121880         1.2576038411
         2.2389133627         1.2310823131
         2.2621145374         1.2219420856
         2.2853157122         1.1922777764
         2.3085168869         1.1623028175
         2.3317180617         1.1477336435
         2.3549192364         1.1242342245
         2.3781204112         1.1000486966
         2.4013215859         1.0701585571
         2.4245227606         1.0511548962
         2.4477239354         1.0282718813
         2.4709251101         1.0088528456
         2.4941262849         0.9934395021
         2.5173274596         0.9799525752
         2.5405286344         0.9728195278
         2.5637298091         0.9639292201
         2.5869309838         0.9640700690
         2.6101321586         0.9640033081
         2.6333333333         0.9598357726
         2.6565345081         0.9573602876
         2.6797356828         0.9597309646
         2.7029368576         0.9617283789
         2.7261380323         0.9657631127
         2.7493392070         0.9657472732
         2.7725403818         0.9799762874
         2.7957415565         0.9866064648
         2.8189427313         0.9939981535
         2.8421439060         1.0008859916
         2.8653450808         1.0039013021
         2.8885462555         1.0131346211
         2.9117474302         1.0099787006
         2.9349486050         1.0103052926
         2.9581497797         1.0161801676
         2.9813509545         1.0237853147
         3.0045521292         1.0233502666
         3.0277533040         1.0300021376
         3.0509544787         1.0222052469
         3.0741556535         1.0275313154
         3.0973568282         1.0261857797
         3.1205580029         1.0245358133
         3.1437591777         1.0236277908
         3.1669603524         1.0228564959
         3.1901615272         1.0245845573
         3.2133627019         1.0193453680
         3.2365638767         1.0115443749
         3.2597650514         1.0088565272
         3.2829662261         1.0049492536
         3.3061674009         0.9991673775
         3.3293685756         1.0020876329
         3.3525697504         0.9986186529
         3.3757709251         0.9947190208
         3.3989720999         0.9867786093
         3.4221732746         0.9806422606
         3.4453744493         0.9735739563
         3.4685756241         0.9659702499
         3.4917767988         0.9602620709
         3.5149779736         0.9623183816
         3.5381791483         0.9612393745
         3.5613803231         0.9633369266
         3.5845814978         0.9608163016
         3.6077826725         0.9655091258
         3.6309838473         0.9629801488
         3.6541850220         0.9664055642
         3.6773861968         0.9662330587
         3.7005873715         0.9701484420
         3.7237885463         0.9653242969
         3.7469897210         0.9653424182
         3.7701908957         0.9709766117
         3.7933920705         0.9712625037
         3.8165932452         0.9705861715
         3.8397944200         0.9691372812
         3.8629955947         0.9729016561
         3.8861967695         0.9705623376
         3.9093979442         0.9730082141
         3.9325991189         0.9749842905
         3.9558002937         0.9758617336
         3.9790014684         0.9784369551
         4.0022026432         0.9772785172
         4.0254038179         0.9743592730
         4.0486049927         0.9679093120
         4.0718061674         0.9723687636
         4.0950073421         0.9718470131
         4.1182085169         0.9728423564
         4.1414096916         0.9723314115
         4.1646108664         0.9734838221
         4.1878120411         0.9729531391
         4.2110132159         0.9743268702
         4.2342143906         0.9739789586
         4.2574155653         0.9724736694
         4.2806167401         0.9707462924
         4.3038179148         0.9715177095
         4.3270190896         0.9782140784
         4.3502202643         0.9712462004
         4.3734214391         0.9761976972
         4.3966226138         0.9766809769
         4.4198237885         0.9712723592
         4.4430249633         0.9723925267
         4.4662261380         0.9742044209
         4.4894273128         0.9729439912
         4.5126284875         0.9696385178
         4.5358296623         0.9702638847
         4.5590308370         0.9678164500
         4.5822320117         0.9681033720
         4.6054331865         0.9715847352
         4.6286343612         0.9694543138
