# r   g(r)
         0.0116005874         0.0000000000
         0.0348017621         0.0000000000
         0.0580029369         0.0000000000
         0.0812041116         0.0000000000
         0.1044052863         0.0000000000
         0.1276064611         0.0000000000
         0.1508076358         0.0000000000
         0.1740088106         0.0000000000
         0.1972099853         0.0000000000
         0.2204111601         0.0000000000
         0.2436123348         0.0000000000
         0.2668135095         0.0000000000
         0.2900146843         0.0000000000
         0.3132158590         0.0000000000
         0.3364170338         0.0000000000
         0.3596182085         0.0000000000
         0.3828193833         0.0000000000
         0.4060205580         0.0000000000
         0.4292217327         0.0000000000
         0.4524229075         0.0000000000
         0.4756240822         0.0000000000
         0.4988252570         0.0000000000
         0.5220264317         0.0000000000
         0.5452276065         0.0000000000
         0.5684287812         0.0000000000
         0.5916299559         0.0000000000
         0.6148311307         0.0000000000
         0.6380323054         0.0000000000
         0.6612334802         0.0000000000
         0.6844346549         0.0000000000
         0.7076358297         0.0000000000
         0.7308370044         0.0000000000
         0.7540381791         0.0000000000
         0.7772393539         0.0000000000
         0.8004405286         0.0000000000
         0.8236417034         0.0000000000
         0.8468428781         0.0000000000
         0.8700440529         0.0000000000
         0.8932452276         0.0000000000
         0.9164464023         0.0000000000
         0.9396475771         0.0000000000
         0.9628487518         0.0165103894
         0.9860499266         0.0787130303
         1.0092511013         0.4658419322
         1.0324522761         1.2923458004
         1.0556534508         3.6672921679
         1.0788546256         4.2871579167
         1.1020558003         4.5748608581
         1.1252569750         3.8804375081
         1.1484581498         3.1565906089
         1.1716593245         2.5645159995
         1.1948604993         1.8118954124
         1.2180616740         1.3824441188
         1.2412628488         1.2716403080
         1.2644640235         0.9477734306
         1.2876651982         0.7108329219
         1.3108663730         0.7304325929
         1.3340675477         0.5504373085
         1.3572687225         0.5151621017
         1.3804698972         0.6104413755
         1.4036710720         0.5049719374
         1.4268722467         0.6315300350
         1.4500734214         0.5605262421
         1.4732745962         0.5641675273
         1.4964757709         0.6014909091
         1.5196769457         0.6296614336
         1.5428781204         0.8166327084
         1.5660792952         0.7676515776
         1.5892804699         1.0544716706
         1.6124816446         0.9360402991
         1.6356828194         1.1328025002
         1.6588839941         1.0457146938
         1.6820851689         1.2767434210
         1.7052863436         1.3422497358
         1.7284875184         1.6241073068
         1.7516886931         1.4766106040
         1.7748898678         1.5888877706
         1.7980910426         1.7469941862
         1.8212922173         1.5920196824
         1.8444933921         1.5477220973
         1.8676945668         1.6850329703
         1.8908957416         1.6353744974
         1.9140969163         1.6377491274
         1.9372980910         1.6191492730
         1.9604992658         1.5133508821
         1.9837004405         1.3692413544
         2.0069016153         1.3795711297
         2.0301027900         1.3705032105
         2.0533039648         1.1109762847
         2.0765051395         1.1288885168
         2.0997063142         1.2360127334
         2.1229074890         1.2770733972
         2.1461086637         1.2163762007
         2.1693098385         1.1026733052
         2.1925110132         1.1240394657
         2.2157121880         1.0538541571
         2.2389133627         1.0138042202
         2.2621145374         0.9691845802
         2.2853157122         0.9671910583
         2.3085168869         0.9909318834
         2.3317180617         0.7995712271
         2.3549192364         0.9163829715
         2.3781204112         0.9446018147
         2.4013215859         0.9370551491
         2.4245227606         0.9192070244
         2.4477239354         0.9274125707
         2.4709251101         0.9903055509
         2.4941262849         1.1048436015
         2.5173274596         1.1183891998
         2.5405286344         1.1360011756
         2.5637298091         1.2017017834
         2.5869309838         1.1756688116
         2.6101321586         1.2357462726
         2.6333333333         1.2140670744
         2.6565345081         1.3296007909
         2.6797356828         1.2832294970
         2.7029368576         1.2256765381
         2.7261380323         1.2419767953
         2.7493392070         1.2838802082
         2.7725403818         1.2744304901
         2.7957415565         1.2944920790
         2.8189427313         1.2674925352
         2.8421439060         1.1729799373
         2.8653450808         1.2044000201
         2.8885462555         1.1704535012
         2.9117474302         1.1771515272
         2.9349486050         1.1639451405
         2.9581497797         1.1055261163
         2.9813509545         1.0969971754
         3.0045521292         1.0784249945
         3.0277533040         1.0352448177
         3.0509544787         0.9488482014
         3.0741556535         0.9637350894
         3.0973568282         1.0371064104
         3.1205580029         0.9965915780
         3.1437591777         1.0005216267
         3.1669603524         0.9401301725
         3.1901615272         0.9911802233
         3.2133627019         0.9665419016
         3.2365638767         0.9892656235
         3.2597650514         0.9608284991
         3.2829662261         0.9899029419
         3.3061674009         0.9970639332
         3.3293685756         1.0909279175
         3.3525697504         1.0009777771
         3.3757709251         1.0436811669
         3.3989720999         1.0175571459
         3.4221732746         1.0443248188
         3.4453744493         1.0715711177
         3.4685756241         1.0750959565
         3.4917767988         1.1374390237
         3.5149779736         1.1150393425
         3.5381791483         1.1188049383
         3.5613803231         1.0173814226
         3.5845814978         1.1400607084
         3.6077826725         1.1007484673
         3.6309838473         1.1134301313
         3.6541850220         1.0488974823
         3.6773861968         1.0968274918
         3.7005873715         1.1110615313
         3.7237885463         1.0177801272
         3.7469897210         1.0608181056
         3.7701908957         1.0424177078
         3.7933920705         1.0243867287
         3.8165932452         1.0476990266
         3.8397944200         0.9997778107
         3.8629955947         1.0329379021
         3.8861967695         0.9507064707
         3.9093979442         1.0025534054
         3.9325991189         0.9620554945
         3.9558002937         0.9273268825
         3.9790014684         0.9532832448
         4.0022026432         1.0177584500
         4.0254038179         0.9522147307
         4.0486049927         0.9861577479
         4.0718061674         0.9712585329
         4.0950073421         1.0077504861
         4.1182085169         0.9531046290
         4.1414096916         1.0084988117
         4.1646108664         0.8940338047
         4.1878120411         0.9757999788
         4.2110132159         0.9883838794
         4.2342143906         0.9886811619
         4.2574155653         1.0100258565
         4.2806167401         1.0082958740
         4.3038179148         0.9561345316
         4.3270190896         1.0015021824
         4.3502202643         1.0151136703
         4.3734214391         0.9739605690
         4.3966226138         1.0619005984
         4.4198237885         0.9739904429
         4.4430249633         0.9801285832
         4.4662261380         1.0321299112
         4.4894273128         1.0252868501
         4.5126284875         1.0395766979
         4.5358296623         0.9969763406
         4.5590308370         1.0052663116
         4.5822320117         0.9951121932
         4.6054331865         0.9995450133
         4.6286343612         0.9888351706
