# r   g(r)
         0.0116005874         2.1220659079
         0.0348017621         0.6063045451
         0.0580029369         2.1779097476
         0.0812041116         2.0933893416
         0.1044052863         2.2090358221
         0.1276064611         2.6234331279
         0.1508076358         2.7737239426
         0.1740088106         2.7185045506
         0.1972099853         1.9949375355
         0.2204111601         1.8558288567
         0.2436123348         1.6604684899
         0.2668135095         1.3095872731
         0.2900146843         1.1673624824
         0.3132158590         1.0687918787
         0.3364170338         1.0324472801
         0.3596182085         0.9653781107
         0.3828193833         0.8948001288
         0.4060205580         0.7516131154
         0.4292217327         0.6787718118
         0.4524229075         0.6537302074
         0.4756240822         0.5662769056
         0.4988252570         0.5416087465
         0.5220264317         0.4994328914
         0.5452276065         0.4386285899
         0.5684287812         0.4559908420
         0.5916299559         0.4345286162
         0.6148311307         0.3857386059
         0.6380323054         0.4054277528
         0.6612334802         0.4227587190
         0.6844346549         0.4002747835
         0.7076358297         0.3824432647
         0.7308370044         0.3895562710
         0.7540381791         0.3451956376
         0.7772393539         0.3160724838
         0.8004405286         0.3075242530
         0.8236417034         0.2991433824
         0.8468428781         0.2819156860
         0.8700440529         0.2811649307
         0.8932452276         0.2581600306
         0.9164464023         0.3073618213
         0.9396475771         0.3247136006
         0.9628487518         0.4798982027
         0.9860499266         0.6997844210
         1.0092511013         1.0215969925
         1.0324522761         1.2905275417
         1.0556534508         1.4254160309
         1.0788546256         1.5294772857
         1.1020558003         1.5632562638
         1.1252569750         1.5707257007
         1.1484581498         1.5478870083
         1.1716593245         1.4923246134
         1.1948604993         1.4568034463
         1.2180616740         1.3964471687
         1.2412628488         1.3679627149
         1.2644640235         1.3248921197
         1.2876651982         1.2403786388
         1.3108663730         1.2190190657
         1.3340675477         1.1567708805
         1.3572687225         1.1153919034
         1.3804698972         1.1048888495
         1.4036710720         1.1112776617
         1.4268722467         1.0615940007
         1.4500734214         1.0322413779
         1.4732745962         1.0248085504
         1.4964757709         1.0021197389
         1.5196769457         1.0025858741
         1.5428781204         0.9767389362
         1.5660792952         0.9509631077
         1.5892804699         0.9413398140
         1.6124816446         0.9397804129
         1.6356828194         0.9476786856
         1.6588839941         0.9597515922
         1.6820851689         0.9498091939
         1.7052863436         0.9634862703
         1.7284875184         0.9597788933
         1.7516886931         0.9707573591
         1.7748898678         0.9907486613
         1.7980910426         0.9715290919
         1.8212922173         0.9558307359
         1.8444933921         0.9792772899
         1.8676945668         0.9774754491
         1.8908957416         0.9836665224
         1.9140969163         0.9826207532
         1.9372980910         1.0031547400
         1.9604992658         0.9809886398
         1.9837004405         0.9891878973
         2.0069016153         0.9945263666
         2.0301027900         0.9716935080
         2.0533039648         0.9972725364
         2.0765051395         1.0066368573
         2.0997063142         1.0288621204
